sentence_id,text,char_count,word_count,phoneme_count,complexity_tag,t_synth_start,t_front_end_end,t_acoustic_end,t_vocoder_end,t_audio_write_end,front_end_ms,acoustic_ms,vocoder_ms,write_ms,total_synth_ms,audio_duration_s,n_samples,sample_rate,rtf,energy_j,energy_wh,energy_per_speech_s,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF_0000,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,3385.193257869,3385.19403984,3385.65274001,3386.344751581,3386.415305339,0.005741000222769799,458.33452699980626,691.3189879996935,70.52685100006784,1222.0474700002342,3.889,85760,22050,0.31423179994863315,10.240240295990663,0.00284451119333074,2.6331294152714486,97.24527782871814,100.0,64.45,False,0.32285291694764784,8.968136581879107e-05,0.3222055397727273,0.323053125,0.0010847921878656462,3.8077945093166363,0.00020894111931164873,0.7434472090337927
A1_0001,.Le chat dort.,14,3,,short_plain,3390.553519121,3390.554136816,3390.791818706,3390.99203815,3391.037259697,0.004925000212097075,237.46174400002928,199.71293200023865,45.200899000064965,483.7405759999456,1.173,25856,22050,0.41239605797096807,4.270357992079212,0.0011862105533553369,3.640543897765739,87.05681258865125,97.5609756097561,64.45,False,0.12732921600274225,3.5369226667428404e-05,0.3196003125,0.3221765625,0.00045172637323078585,3.6877989207659594,7.654415663109189e-05,0.667931098976212
A2_0002,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,3392.483058416,3392.484030755,3392.806879656,3393.257563348,3393.315498158,0.03142499963360024,322.60599600022033,450.09692100029497,57.9141250000248,832.4397420001333,2.612,57600,22050,0.3186982166922409,7.393999256957596,0.002053888682488221,2.830780726247165,91.11776896591581,100.0,66.1,False,0.2242982400191119,6.230506667197552e-05,0.32056621093750004,0.3223359375,0.0008132231247897617,4.265438114603625,0.00013884926493436942,0.7207153048835601
A3_0003,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,3396.26332495,3396.264130125,3396.775970562,3397.606526679,3397.688047427,0.004128999989916338,511.53782900018996,829.858403000344,81.50208200004272,1424.7224770001594,4.644,102400,22050,0.3067877857450817,13.06028520506769,0.0036278570014076916,2.812292249153249,92.6794700637081,100.0,68.3,False,0.41796075218632667,0.0001161002089406463,0.32198303571428577,0.3232125,0.0013464123294575575,3.6313726121926426,0.0002607952724448924,0.7164230244596342
B1_0004,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,3402.553140909,3402.553820642,3402.906352949,3403.405333699,3403.465948534,0.0044630000957113225,351.78174199973,498.47964399987177,60.59509499982596,912.807624999914,2.833,62464,22050,0.3222053035650949,8.328377539723746,0.0023134382054788185,2.939773222634573,92.54231315206926,100.0,67.75,False,0.25777092299561166,7.160303416544768e-05,0.3222473958333334,0.32265468750000004,0.0009077199920624287,3.870135621097389,0.00015982405964780097,0.7076894674237268
B2_0005,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,3406.572857413,3406.573452906,3407.080593992,3407.970147324,3408.055739234,0.004537000222626375,506.3347420000355,888.8633200003824,85.57231700024204,1482.8818210003192,4.888,107776,22050,0.30337189463999986,15.654656266677906,0.004348515629632751,3.202671085654236,90.96947496947496,100.0,69.4,False,0.44943999634184706,0.00012484444342829084,0.322096875,0.32257500000000006,0.0018532887179768332,4.584417207899359,0.0002658894557958971,0.679204725501244
B3_0006,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,3413.213211344,3413.213988966,3413.6141331,3414.305655582,3414.376225217,0.004334000095695956,399.92885899982866,691.0170979999748,70.54811699981656,1163.0138730001818,3.727,82176,22050,0.3120509452643364,10.99722245456127,0.0030547840151559083,2.9506902212399435,89.10443880346035,100.0,69.4,False,0.3543069445224003,9.841859570066675e-05,0.3220549479166667,0.32808750000000003,0.0010981036367494982,3.510963494501166,0.00023020174290208116,0.74366021038492
B4_0007,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,3418.428417162,3418.429075563,3418.790494139,3419.309088317,3419.371602085,0.004277999778423691,361.17059700018217,517.9797199998575,62.49182400006248,943.1849229999898,2.902,64000,22050,0.32501203411440033,9.967067348378752,0.0027686298189940977,3.434551119358632,86.22642703446954,97.67441860465117,68.85,False,0.28951508215518534,8.042085615421815e-05,0.3213853125,0.3223359375,0.001159575195837327,4.39397858695864,0.00016851836792542728,0.6664204674860449
C1_0008,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,3422.585460035,3422.586138066,3423.297274343,3424.59098564,3424.693459272,0.003629999810073059,710.5338189999202,1292.9524139999558,102.45385400003215,2107.999237000058,7.105,156672,22050,0.29669236270233046,21.538464527632698,0.005982906813231305,3.0314517280271214,92.49638628464663,100.0,71.6,False,0.64525304451042,0.00017923695680845,0.32244308035714286,0.32833125,0.002447057319596902,4.414735629495743,0.0004043265923143767,0.7194897487635742
C2_0009,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,3432.092616844,3432.093394653,3432.531387983,3433.221726913,3433.292381996,0.005129999863129342,437.62438800013115,689.6287310000844,70.63376900032381,1199.7651520000545,3.843,84736,22050,0.3121949393702978,11.145433925948751,0.0030959538683190974,2.900190977348101,90.81589824365297,100.0,69.95,False,0.3543283330652151,9.842453696255975e-05,0.3221500000000001,0.3232125,0.0011590063988224496,3.6948431461787496,0.00021627235950221559,0.7192908028724667
REF_0010,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,3437.436106355,3437.436827276,3437.860733471,3438.554900167,3438.626152785,0.003888999799528392,423.6394190002102,693.4715720003624,71.23182200029987,1190.0464300001659,3.889,85760,22050,0.3060031961944371,10.443657503971286,0.0029010159733253572,2.6854352028725343,95.97135680284238,100.0,70.5,False,0.3220660947822536,8.946280410618156e-05,0.3221041193181819,0.322734375,0.0011322631968181326,4.184492561358636,0.00020511667603915034,0.7225832899264981
A1_0011,.Le chat dort.,14,3,,short_plain,3442.768388999,3442.769127364,3442.999292207,3443.202464299,3443.246702664,0.0836659996821254,229.72821600023963,202.7138170001308,44.21749500033911,478.31366500031436,1.173,25856,22050,0.4077695353796371,3.891157649565359,0.0010808771248792665,3.317269948478567,85.977256068309,97.67441860465117,68.85,False,0.1275642597637736,3.543451660104823e-05,0.321969375,0.322734375,0.0003982809121630483,3.5204000889064004,6.734099946284322e-05,0.60034305047664
A2_0012,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,3444.686810693,3444.687313801,3445.015563466,3445.468274967,3445.524610471,0.003482000010990305,327.31206000016755,452.17268900023555,56.31611499984501,837.7997779998623,2.612,57600,22050,0.32075029785599624,7.609000604605121,0.002113611279056978,2.913093646479755,90.30250197491853,100.0,71.05,False,0.22461220878884186,6.239228021912274e-05,0.32181796875,0.32225624999999997,0.0008643358802243157,4.3087213977496255,0.0001423256734341436,0.7268384138870275
A3_0013,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,3448.466903477,3448.469010909,3448.978936162,3449.81184472,3449.891383214,0.0065930003074754495,509.42218199998024,832.2503399999732,79.51842000011311,1424.4797370001834,4.644,102400,22050,0.3067355161499103,14.080451634354226,0.003911236565098396,3.0319663295336405,92.68394214932071,100.0,71.6,False,0.41729246888112537,0.00011591457468920149,0.3215212053571429,0.3229734375,0.001582492672519452,4.219306229861564,0.0002799859075484579,0.7600969696926329
B1_0014,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,3454.758802552,3454.759449437,3455.119668821,3455.612076214,3455.67048308,0.003944000127376057,359.96438499978467,491.874062000079,58.386662999964756,911.6805280000335,2.833,62464,22050,0.3218074578185787,7.819031110644957,0.0021719530862902656,2.7599827429032673,92.25550299352929,100.0,71.05,False,0.257577720750332,7.154936687509221e-05,0.32221197916666666,0.323053125,0.000769234873264568,3.423182769738778,0.0001600556701711153,0.7082806090712022
B2_0015,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,3458.78962669,3458.790236761,3459.294217999,3460.183147599,3460.268536813,0.004406999778439058,503.61735100023,888.1254740003897,85.36943700028132,1478.9101229998778,4.888,107776,22050,0.3025593541325446,14.999038015199949,0.004166399448666653,3.068542965466438,90.11100714053217,100.0,72.7,False,0.45076930407305615,0.00012521369557584892,0.3219746875000001,0.32289375000000003,0.0016401301135061175,4.063739293078506,0.0003098419237069243,0.7850403648552973
B3_0016,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,3465.426745704,3465.42765007,3465.863369193,3466.547395862,3466.618138223,0.007665999874006957,435.3999019999719,683.5032640001373,70.72301000016523,1191.3925190001464,3.727,82176,22050,0.31966528548434303,11.770832272197435,0.0032696756311659542,3.158259262730731,88.12476272842127,100.0,72.15,False,0.35429804346498983,9.84161231847194e-05,0.32207695312500007,0.32265468750000004,0.0013284575503039703,4.2228702039718335,0.00021655513564243836,0.6908433263755117
B4_0017,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,3470.673336942,3470.674414679,3471.03154126,3471.551236159,3471.615806428,0.007019000349828275,356.5231389998189,519.043105000037,64.55047299959915,942.4694859999363,2.902,64000,22050,0.32476550172292773,8.27170576363719,0.002297696045454775,2.8503465760293554,92.78635040830163,100.0,71.6,False,0.25784219598795777,7.162283221887716e-05,0.32215,0.32265468750000004,0.0008764290713599939,3.8652872180511104,0.00017295271323447233,0.7829357861731955
C1_0018,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,3474.831629481,3474.832294923,3475.55590181,3476.833244634,3476.93654436,0.003907000063918531,723.327849999805,1276.5454939999472,103.27913299988722,2104.914878999807,7.105,156672,22050,0.29625825179448373,22.531076972194697,0.006258632492276305,3.1711579130464034,88.54433321303488,100.0,73.8,False,0.6758673663926302,0.00018774093510906395,0.32202080965909086,0.3229734375,0.0025321905729157926,4.2345775534851455,0.00043052113045074386,0.732414198327393
C2_0019,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,3484.340616841,3484.341328673,3484.774453291,3485.461566977,3485.529876062,0.004797000201506307,432.86095200028285,686.491260999901,68.28780699970594,1189.259220999702,3.843,84736,22050,0.3094611556075207,10.854656014991546,0.0030151822263865405,2.824526675771935,95.81165063297793,100.0,71.6,False,0.3226161181381193,8.96155883716998e-05,0.32197372159090915,0.32265468750000004,0.001243701456616205,4.320917767900909,0.00020383901072345203,0.7201924017512635
REF_0020,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,3489.663829898,3489.664737323,3490.096232739,3490.790940681,3490.861443853,0.004851999619859271,430.66858499969385,694.0416469997217,70.48224599975583,1197.6139549997242,3.889,85760,22050,0.3079490755977692,12.86494171715841,0.003573594921432892,3.3080333548877374,92.30633747959926,100.0,72.15,False,0.3529304795914834,9.80362443309676e-05,0.32087916666666666,0.3223359375,0.0015946957247297729,4.949743585688908,0.00021832654920098864,0.71226642862255
A1_0021,.Le chat dort.,14,3,,short_plain,3494.983962488,3494.984525635,3495.2046049,3495.405267914,3495.447898798,0.004350999915914144,219.9298569998973,200.19795899997916,42.6088469998831,463.93631000000823,1.173,25856,22050,0.3955126257459576,4.22914963561953,0.0011747637876720917,3.6054131590959333,83.89024390243904,97.5609756097561,71.05,False,0.12888355359210799,3.5800987108918885e-05,0.32225625,0.323053125,0.0004586604398016648,3.8908990400505,8.293738195691101e-05,0.717627958201516
A2_0022,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,3496.903463893,3496.90407593,3497.223355369,3497.674281775,3497.730583687,0.0034079998840752523,318.9539949999016,450.4264810002496,56.281764000232215,827.1197939998274,2.612,57600,22050,0.31666148315460463,7.226407291108244,0.002007335358641179,2.7666184116034627,88.97238659754706,100.0,72.7,False,0.2245432957463417,6.237313770731714e-05,0.32060781250000003,0.32241562500000004,0.0007619686732880496,3.849571141727825,0.0001520953453292279,0.7517201172660676
A3_0023,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,3500.679432992,3500.680299936,3501.180311257,3502.006614832,3502.085616879,0.004556000021693762,499.6245440001985,825.6430200003706,78.9823250001973,1406.1838870002248,4.644,102400,22050,0.30279584130065135,15.740082713764714,0.004372245198267976,3.389337362998431,92.0460732856619,100.0,73.8,False,0.41841153999410335,0.00011622542777613982,0.32194888392857146,0.32313281250000003,0.0020358239715052564,5.581562906192329,0.0002572691465307439,0.70746237048057
B1_0024,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,3506.972857847,3506.973487143,3507.356790121,3507.853879634,3507.913259078,0.003778000063903164,383.0807559997993,496.5894759998264,59.357907000048726,940.4012310001235,2.833,62464,22050,0.3319453692199518,8.410399873208684,0.002336222187002412,2.968725687683969,91.15825647276225,100.0,72.15,False,0.2567384522707564,7.131623674187679e-05,0.3213855902777778,0.32241562500000004,0.0009247734620812399,4.068804684758489,0.00015872063793329256,0.7045544436605845
B2_0025,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,3511.024596501,3511.025156279,3511.520870709,3512.404782347,3512.485124311,0.003259000095567899,495.4958930002249,883.2251200001338,80.32227900002908,1460.527810000258,4.888,107776,22050,0.2987986518003801,15.013263741461767,0.0041703510392949355,3.0714533022630457,89.95273361640498,100.0,73.8,False,0.4488097697945333,0.00012466938049848146,0.3210311458333333,0.32241562500000004,0.0016852793402179144,4.2556852947462005,0.0002891289920581229,0.734184311515156
