sentence_id,text,char_count,word_count,phoneme_count,complexity_tag,t_synth_start,t_front_end_end,t_acoustic_end,t_vocoder_end,t_audio_write_end,front_end_ms,acoustic_ms,vocoder_ms,write_ms,total_synth_ms,audio_duration_s,n_samples,sample_rate,rtf,energy_j,energy_wh,energy_per_speech_s,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,10010.989590044,10010.995499868,10011.421103126,10012.115836953,10012.186320704,0.003630000719567761,425.3397369993763,693.9694860011514,70.46067700139247,1196.7306599999574,3.889,85760,22050,0.307721949087158,10.72936001984178,0.002980377783289383,2.7588994651174543,92.5656226113543,100.0,67.75,False,0.3515501920758135,9.765283113217042e-05,0.31982877604166676,0.3232125,0.001046142604332194,3.4161556366735835,0.00024107476847553974,0.7865766949262051
A1,.Le chat dort.,14,3,,short_plain,10018.709394685,10018.709956247,10018.93785972,10019.157590271,10019.19947784,0.004610999894794077,227.74526699868147,219.13808099998278,41.86719800054561,490.0831550003204,1.173,25856,22050,0.417803201193794,3.709944565219072,0.0010305401570052978,3.1627830905533436,75.86164736164736,97.61904761904762,64.45,False,0.12886536529511428,3.579593480419841e-05,0.32166656250000003,0.322096875,0.0003266550755776405,2.9548173935446,8.228133394603934e-05,0.744755183244996
A2,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,10022.631318469,10022.631966958,10022.963109433,10023.42151119,10023.477548821,0.004610999894794077,330.8799349997571,457.84534299855295,56.005037999057095,846.230351999111,2.612,57600,22050,0.3239779295555555,7.8276812177286725,0.00217435589381352,2.9968151675837182,93.09819165643943,100.0,66.1,False,0.22535113325547115,6.259753701540866e-05,0.32163867187499995,0.3220171875,0.0009182908511361793,4.4210573699461495,0.00014462997504426507,0.7223378448921276
A3,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,10028.419074363,10028.419819094,10028.903044405,10029.745312131,10029.823477506,0.004556000931188464,482.89930800092407,841.5286070012371,78.14604099985445,1404.4031429984898,4.644,102400,22050,0.3024123908265482,13.086302211616683,0.0036350839476713007,2.817894533078528,92.18798769871576,100.0,67.75,False,0.4191413275052545,0.00011642814652923737,0.32236562499999993,0.32825,0.0013144976429551192,3.5365240879636426,0.00028305211266991506,0.7840094264687014
B1,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,10036.69922919,10036.699877327,10037.038551894,10037.53116589,10037.590081518,0.004407000233186409,338.4059529998922,492.05684199841926,58.89609099904192,890.8523279988003,2.833,62464,22050,0.31445546346586667,8.958679222316032,0.0024885220061988977,3.162258814795634,86.74212652374877,100.0,67.2,False,0.2575040660924103,7.152890724789175e-05,0.32168628472222216,0.32670625000000003,0.0010643202942155316,4.607481827254356,0.00016001667942052062,0.7022490859973023
B2,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,10042.706067108,10042.706885839,10043.225085844,10044.10455415,10044.184097783,0.004610999894794077,517.7815000006376,878.7665760009986,79.52346599995508,1478.0306749999,4.888,107776,22050,0.3023794343289484,14.347136017251161,0.003985315560347545,2.935175126278879,89.4218776284633,100.0,68.85,False,0.45022836363113056,0.00012506343434198072,0.32227312500000005,0.32808750000000003,0.0015210881726033692,3.8177313556676666,0.0002802668003211113,0.7133795531911266
B3,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,10051.343924924,10051.344579635,10051.752752216,10052.435046867,10052.501913843,0.004463001459953375,407.9506340003718,681.74732999978,66.84628999937559,1157.988918999763,3.727,82176,22050,0.31070268822102576,9.839337401468141,0.0027331492781855946,2.640015401520832,93.59970310510658,100.0,67.75,False,0.3221273547896275,8.947982077489654e-05,0.3213566761363636,0.3223359375,0.0009681317025625535,3.4301707066490725,0.0002035145016702798,0.7156369388367473
B4,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,10058.555898086,10058.556561723,10058.899510388,10059.431654931,10059.492608103,0.005425999916042201,342.7189770009136,531.1780140000337,60.934283001188305,936.7100170002232,2.902,64000,22050,0.32278084665755447,7.995930745784701,0.0022210918738290834,2.75531727973284,92.1937321937322,100.0,67.2,False,0.2574649973115875,7.15180548087743e-05,0.3218223958333334,0.32241562500000004,0.0008197757347309616,3.6598674511859994,0.00015641648826628137,0.7008567537935089
C1,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,10064.712312506,10064.713210127,10065.430624699,10066.709192292,10066.807189743,0.0043340005504433066,716.9452710004407,1277.0770210008777,97.977321000144,2094.8772369993094,7.105,156672,22050,0.29484549429969165,21.416722266934265,0.005949089518592851,3.0143169974573207,91.48362116315536,100.0,69.95,False,0.6384033011652721,0.00017733425032368669,0.3194537202380952,0.3289,0.0023606400108016055,4.227635964236828,0.00043348229207941974,0.771623348749822
C2,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,10076.209390356,10076.210080586,10076.627031189,10077.316160298,10077.384462052,0.004536999767879024,416.67215599954943,688.4685829991213,68.28160599980038,1175.071695999577,3.843,84736,22050,0.3057693718448028,10.732581155085699,0.0029812725430793607,2.792761164477153,88.73614618158905,100.0,68.85,False,0.3486392079078557,9.68442244188488e-05,0.3170270833333334,0.333734375,0.0010418261904501856,3.385508811421334,0.0002349977779375055,0.77710153186031
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,10083.51525532,10083.51594705,10083.934570973,10084.627374632,10084.700053028,0.004519000867730938,418.31186400122533,692.0464459999494,72.65910000023723,1184.797707999678,3.889,85760,22050,0.30465356338382055,11.050098603354842,0.003069471834265234,2.8413727444985453,88.9894076357976,100.0,69.4,False,0.35568159067267835,9.880044185352176e-05,0.32137890625000004,0.3348109375,0.001152786857230406,3.66087207149775,0.0002055990214669448,0.6700929378508267
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,10090.823414791,10090.824211559,10091.245849132,10091.938018385,10092.012255373,0.0040930008253781125,421.3668479987973,690.8811280009104,74.2164879993652,1188.8405819991021,3.889,85760,22050,0.3056931298532019,10.557955068410985,0.002932765296780829,2.7148251654438122,95.50640202758304,100.0,69.4,False,0.31452880524680465,8.736911256855685e-05,0.3145254261363637,0.3345625,0.001166144864352852,4.08297821350811,0.0001988406932006444,0.7071515419231728
