sentence_id,text,char_count,word_count,phoneme_count,complexity_tag,t_synth_start,t_front_end_end,t_acoustic_end,t_vocoder_end,t_audio_write_end,front_end_ms,acoustic_ms,vocoder_ms,write_ms,total_synth_ms,audio_duration_s,n_samples,sample_rate,rtf,energy_j,energy_wh,energy_per_speech_s,mean_cpu,peak_cpu,peak_temp,throttled_any,amp_energy_j,amp_energy_wh,amp_mean_w,amp_peak_w,cpu_energy_wh,cpu_mean_w,mem_energy_wh,mem_mean_w
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,10278.090209472,10278.09612852,10278.522978302,10279.221515923,10279.292490598,0.0034810000215657055,426.58622300041316,697.2129019995918,70.95019299958949,1202.2811259994342,3.889,85760,22050,0.30914917099496897,12.115205413143839,0.0033653348369843995,3.1152495276790537,92.3502131396868,100.0,71.6,False,0.3477664735642448,9.660179821229022e-05,0.3161231770833334,0.322096875,0.001411252779606348,4.443508637980899,0.00022501519143227513,0.729933725942055
A1,.Le chat dort.,14,3,,short_plain,10285.435757805,10285.436340441,10285.656951036,10285.864475908,10285.907169318,0.004462999640963972,220.44835300039267,206.98140300009982,42.67159499977424,471.41151299911144,1.173,25856,22050,0.4018853478253294,4.043889757826709,0.0011233027105074192,3.4474763493833835,75.86509425533816,94.87179487179488,68.3,False,0.1266107655570413,3.516965709917814e-05,0.315390625,0.315859375,0.00043070197271800214,3.8930590490872,7.154480941554718e-05,0.6555897765712559
A2,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,10289.347346103,10289.347998962,10289.666352407,10290.137478846,10290.192117891,0.004184999852441251,318.06812700051523,470.5739879991597,54.617822999716736,844.7717879989796,2.612,57600,22050,0.3234195206734225,8.160414255521228,0.002266781737644786,3.1242014760801027,93.86478831246274,100.0,69.4,False,0.22409492917241466,6.224859143678185e-05,0.32161542968750007,0.32695,0.0010123702565563214,4.95767605253315,0.00014135508783618653,0.72142178932754
A3,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,10295.130584387,10295.131338728,10295.63133709,10296.458490833,10296.5351365,0.004258999979356304,499.69541400059825,826.3587149995146,76.62292600070941,1404.5521130010457,4.644,102400,22050,0.3024444687771416,13.939102200319137,0.0038719728334219825,3.001529328234095,88.71916705651816,100.0,69.95,False,0.410847150771033,0.00011412420854750917,0.3154630580357143,0.32161875,0.0015318075187926434,4.1736853656797,0.0002878520053214201,0.79348787630932
B1,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,10303.407793968,10303.408374845,10303.75097683,10304.264610463,10304.323894081,0.004296998667996377,342.3867239998799,513.0858860011358,59.26369200096815,916.1001130014483,2.833,62464,22050,0.323367494882262,8.44075183367018,0.0023446532871306057,2.9794394047547406,87.83454588332637,100.0,70.5,False,0.25402771157072834,7.056325321409121e-05,0.31757864583333334,0.3220171875,0.0009186218961078486,4.017356833987778,0.00016733135300056205,0.7282802106254289
B2,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,10309.455218662,10309.455952226,10310.034411469,10310.931124665,10311.009563724,0.004463001459953375,578.1346650001069,895.9262979988125,78.41850299882935,1554.3450619989017,4.888,107776,22050,0.3179920339604954,14.637140141334484,0.004065872261481801,2.994504938898217,92.46702567682061,97.5,71.05,False,0.44403361092175503,0.0001233426697004875,0.3169602083333334,0.33439687500000004,0.0015636100354936473,3.9087628879243463,0.0002994410098868765,0.7527528724829734
B3,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,10318.161574092,10318.162241359,10318.567229653,10319.233230916,10319.302182571,0.004740999429486692,404.75469899865857,665.457441999024,68.93132100049115,1140.6084789996385,3.727,82176,22050,0.3060393021195703,10.16262173388209,0.002822950481633914,2.726756569327097,93.63074504482692,100.0,69.95,False,0.3155754558896857,8.765984885824603e-05,0.3167721590909091,0.32225624999999997,0.0011650933784351513,4.227590367718836,0.00019508667531921949,0.6974834682926236
B4,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,10325.35002821,10325.350705125,10325.686629598,10326.200664729,10326.261017027,0.005851999958395027,335.67811799912306,513.2695850006712,60.33187200046086,910.9888170005433,2.902,64000,22050,0.3139175799450528,7.854205535229907,0.002181723759786085,2.7064801982184377,92.46431936165345,100.0,69.4,False,0.2530394313888857,7.028873094135714e-05,0.3161786458333333,0.3219375,0.0008567723845111348,3.618304139857711,0.0001567020922123932,0.7044634427542689
C1,".Le colis pèse trois virgule cinq kilos, coûte vingt-neuf virgule quatre-vingt-dix-neuf euros et arrivera vers quinze heures quarante-cinq.",139,18,,stacked_numbers,10331.471593786,10331.472470278,10332.172514623,10333.458920561,10333.557135225,0.00457399983133655,699.6422190004523,1285.5480379985238,98.1934050014388,2085.5414390007354,7.105,156672,22050,0.29353151850819637,19.576209328885295,0.005437835924690359,2.7552722489634474,92.03488733190754,100.0,71.05,False,0.6352144832642985,0.00017644846757341627,0.3179854910714286,0.32833125,0.002099888021486462,3.7380078354483146,0.00041182336968240054,0.7353318032949085
C2,".Les poules du couvent couvent, tandis que les fils du tisserand tissent.",73,12,,homographs_g2p,10342.941411274,10342.942093009,10343.364797619,10344.040862111,10344.108448214,0.004445000740815885,422.44609400040645,675.3537389995472,67.43486399864196,1167.036939999889,3.843,84736,22050,0.3036786208690838,10.447189153128287,0.0029019969869800797,2.718498348459091,95.40863180465232,100.0,69.4,False,0.3189820182303631,8.860611617510086e-05,0.3183805397727273,0.32833125,0.001236309584731727,4.444450013777854,0.00019361401314799782,0.6794904204279582
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,10350.225995732,10350.226698041,10350.642337544,10351.321511861,10351.391757332,0.004184999852441251,415.37039400100184,678.5036750006839,70.22506399880513,1165.761599999314,3.889,85760,22050,0.2997587040368512,11.06469473084315,0.0030735263141230974,2.845125927190319,88.433379330288,100.0,69.95,False,0.3492406915663187,9.701130321286631e-05,0.31747447916666666,0.3223359375,0.0011777986618424319,3.820274873502916,0.00024066149472349335,0.7941292945118317
REF,".La bise et le soleil se disputaient, chacun assurant qu'il était le plus fort.",79,14,,anchor,10357.5135314,10357.514245432,10357.921910045,10358.604998412,10358.676736333,0.004240999260218814,407.39480099909997,681.9132279997575,71.6844399994443,1163.2049330000882,3.889,85760,22050,0.2991012941630466,10.38185987891155,0.0028838499663643197,2.669544839010427,88.56716299427586,100.0,69.95,False,0.35186108948869493,9.773919152463748e-05,0.3202138020833334,0.32225624999999997,0.0010370886103876265,3.3599792566615,0.0002423434887037507,0.785784915505475
A1,.Le chat dort.,14,3,,short_plain,10364.80820485,10364.808735846,10365.013245696,10365.206973979,10365.25013491,0.004129999069846235,204.35546199951204,193.22439800089342,43.14089400031662,441.9300600002316,1.173,25856,22050,0.3767519693096604,3.841067395712652,0.0010669631654757368,3.274567259772082,79.0905500148119,97.5609756097561,67.75,False,0.12827829874914168,3.563286076365047e-05,0.3206540625,0.322096875,0.0003921193737631491,3.37042115211516,8.034125941641925e-05,0.67864983941986
A2,.Le petit garçon mange une pomme rouge dans le jardin.,54,10,,medium_plain,10368.678719808,10368.67931747,10368.985304847,10369.430138079,10369.486900378,0.0040739996620686725,305.7768599992414,444.28705100108346,56.743559000096866,808.1805700003315,2.612,57600,22050,0.30941063169997374,7.397412068067186,0.0020548366855742185,2.832087315492797,91.51318875283894,100.0,69.4,False,0.2219699037222048,6.165830658950133e-05,0.316598828125,0.322096875,0.0008322102365621596,4.2483950771716,0.00012521002045779095,0.63955253093191
A3,".Ce matin, je suis allé à la boulangerie du coin pour acheter du pain frais et deux croissants.",95,18,,long_plain,10374.408321589,10374.409089639,10374.882621394,10375.708549245,10375.786267033,0.004278001142665744,473.24175699941406,825.1421710010618,77.69751100022404,1377.945443999124,4.644,102400,22050,0.29671521188611627,13.025509136326605,0.0036181969823129456,2.8048038622580975,90.53613488708991,100.0,71.05,False,0.4169407384357615,0.00011581687178771154,0.32083895089285713,0.3267875,0.0014056169433483807,3.8081544270693577,0.00029173938153112755,0.8009859490001258
B1,.Les anciens amis ont attendu leurs enfants aux alentours.,58,9,,liaisons,10382.65327404,10382.653920331,10382.980710537,10383.465399195,10383.525176,0.004444000296643935,326.5602999999828,484.14393900020514,59.75704499905987,871.9019599993771,2.833,62464,22050,0.3077663113305249,6.538418986113062,0.0018162274961425174,2.307948812606093,94.99120544090056,100.0,69.4,False,0.22338995312385534,6.205276475662648e-05,0.31778398437500005,0.3216984375,0.0006429025302545174,3.4115860600853747,0.00015230532927462068,0.7748286779021025
B2,".La Révolution française a éclaté le quatorze juillet mille sept cent quatre-vingt-neuf, près de Paris.",103,15,,number_words,10388.640570782,10388.641328444,10389.137717834,10390.012609977,10390.092878339,0.004147999788983725,496.06954000046244,874.0101870007493,80.24634400135255,1452.3075570014043,4.888,107776,22050,0.2971169306467685,12.720725818295545,0.0035335349495265404,2.6024398155269117,95.44348230870797,100.0,71.05,False,0.4117639851865237,0.00011437888477403436,0.3167060267857143,0.3229734375,0.0013777528298765662,3.7114919328167573,0.000250495258489635,0.6953246451937714
B3,".Attends… es-tu vraiment sûr ? Non, c'est impossible !",54,9,,prosody_punct,10397.244634855,10397.245313129,10397.635482742,10398.318462091,10398.387511327,0.003962999471696094,389.9437809996016,682.4164819990983,69.02769900079875,1142.8764720003528,3.727,82176,22050,0.30664783257320977,9.763526188237156,0.0027120906078436547,2.6196743193552874,94.95594087199305,100.0,70.5,False,0.31840325295032906,8.844534804175808e-05,0.3184409090909091,0.321778125,0.001030383756719431,3.6252568754999093,0.00020619273041891348,0.7350251775247717
B4,.Monsieur Lenglet prendra le TGV de la SNCF jusqu'à Grenoble.,61,10,,proper_acronym,10404.435733299,10404.436421073,10404.782345331,10405.2855413,10405.348200035,0.004555999112199061,345.6460559991683,501.82486599987897,62.63827200018568,912.46673599926,2.902,64000,22050,0.3144268559611509,9.680822844911932,0.002689117456919981,3.3359141436636564,83.38182600355333,100.0,69.95,False,0.28637441279941084,7.954844799983634e-05,0.31857578125,0.3277625,0.0010824321339172572,4.141556946425999,0.00019040346628435733,0.7419980547400261
